,c_bound_S,c_bound_T,c_bound_joint,c_bound_mcallester,c_bound_seeger,dS,dT,eS,eT,joint_bound,nb_per_attribute,nb_tree,prior,rS,rT,risk_bound,voter,zero_one_S,zero_one_T,max-iteration,mu
heart--mincq,0.2969485181126158,0.7218909523763706,0.9999959396082756,1.0,1.0,0.4822542446073142,0.4847908569502963,0.1798912987489744,0.2116165280313272,1.6231921843100154,10.0,100.0,0.5,0.4210184210526315,0.4540119565064753,1.3180782173785677,1.0,0.0933333333333333,0.2702702702702703,,
letter_a_b--bound-joint,0.0082130234010219,0.0180900276083124,0.0867259449703212,0.3275992193665709,0.1392745395318357,0.022540006001068,0.0281049158447482,0.0021405376524889,0.0046168402443352,0.0697567693160687,10.0,100.0,0.5,0.0134105406530229,0.0186692981667093,0.0752680581443103,1.0,0.0,0.0043859649122807,,
letter_a_b--bound-risk,0.0069108685927846,0.0393782699368854,0.117676954394847,0.3434076368030545,0.1136251574794037,0.0060084114039234,0.0209487978877862,0.0017293621418966,0.0098449809754903,0.1042607585339448,10.0,100.0,0.5,0.0047335678438583,0.0203193799193834,0.0561606427575123,1.0,0.0015060240963855,0.0175438596491228,,
letter_a_b--c-bound-joint,0.0060449042204615,0.0168220403309292,0.0846478321366789,0.3260678259441915,0.1327942239151915,0.0197756711979364,0.0273893906799361,0.0015830359295967,0.0042989070939535,0.0682554814126118,10.0,100.0,0.5,0.011470871528565,0.0179936024339216,0.0703613847265123,1.0,0.0,0.0,,
letter_a_b--c-bound-mcallester,0.0071508070209185,0.0215785660211613,0.0877593190582272,0.32326769792649,0.1285133685183956,0.0171220139424964,0.0259891181897149,0.0018345512777824,0.0054546093710287,0.0714291754228919,10.0,100.0,0.5,0.0103955582490306,0.0184491684658861,0.0669986789204903,1.0,0.0,0.0087719298245614,,
letter_a_b--c-bound-seeger,0.0068569804128936,0.0391561850961383,0.1172537211552361,0.3431482449012686,0.1136209082702317,0.0060749912895675,0.0210747229775226,0.0017160128985544,0.0097896299792983,0.1038076917263711,10.0,100.0,0.5,0.0047535085433382,0.0203269914680596,0.0561604588054121,1.0,0.0015060240963855,0.0175438596491228,,
letter_a_b--cb-boost,0.0038374789958478,0.0177819000739999,0.1042322344680554,0.3468403503454412,0.130823592652044,0.0134370323267095,0.0260667318065042,0.0009930559284285,0.0045219045283055,0.0897348526581407,10.0,100.0,0.5,0.0077115720917833,0.0175552704315577,0.0662729741248685,1.0,0.0,0.0,,
letter_a_b--mincq,0.0048590918213753,0.018439727785382,0.4514623194862456,0.7603079292594679,0.7304817093003934,0.3743896477647739,0.3763350895284575,0.0628051761176131,0.0654744198626139,0.4540709608473137,10.0,100.0,0.5,0.2500000000000002,0.2536419646268428,0.6587341451086108,1.0,0.0,0.0087719298245614,,
letter_d_o--bound-joint,0.0678885550351546,0.0593693525476237,0.2075653103054207,0.4717672608893868,0.3084962702387462,0.0842165004192211,0.0722482104939193,0.0176892063022923,0.0153469421134045,0.1846574738834444,10.0,100.0,0.5,0.0597974565119029,0.0514710473603642,0.2036828819136055,1.0,0.0195195195195195,0.0176211453744493,,
letter_d_o--bound-risk,0.1027280635767072,0.1058222775036642,0.2926237100612724,0.4611322097570798,0.3128977694192945,0.0324507747003482,0.0312550242952345,0.0257796351894671,0.0265836092154681,0.2863573122295403,10.0,100.0,0.5,0.0420050225396413,0.0422111213630854,0.1740150879191332,1.0,0.0405405405405405,0.0440528634361233,,
